Algorithm,Board_n,Board size,Execution Time (s),Number of conflicts,Number of iterations
Simulated Annealing,5,8,0.1877729892730713,1,5000
Genetic Algorithm,5,8,0.6197240352630615,0,857
Hill Climbing,6,8,0.17919421195983887,1,5000
Simulated Annealing,6,8,0.18962907791137695,2,5000
Genetic Algorithm,6,8,0.9445986747741699,0,1300
Hill Climbing,7,8,0.17656922340393066,2,5000
Simulated Annealing,7,8,0.19042587280273438,2,5000
Genetic Algorithm,7,8,2.0180368423461914,0,2769
Hill Climbing,8,8,0.17533588409423828,1,5000
Simulated Annealing,8,8,0.20330238342285156,1,5000
Genetic Algorithm,8,8,0.015350103378295898,0,21
Hill Climbing,9,8,0.18194317817687988,2,5000
Simulated Annealing,9,8,0.19066739082336426,2,5000
Genetic Algorithm,9,8,1.2561848163604736,0,1717
Hill Climbing,10,8,0.18186712265014648,2,5000
Simulated Annealing,10,8,0.19057750701904297,2,5000
Genetic Algorithm,10,8,0.752068042755127,0,1022
Hill Climbing,11,8,0.18091964721679688,2,5000
Simulated Annealing,11,8,0.19159245491027832,1,5000
Genetic Algorithm,11,8,0.08188414573669434,0,113
Hill Climbing,12,8,0.18021941184997559,1,5000
Simulated Annealing,12,8,0.19275236129760742,1,5000
Genetic Algorithm,12,8,3.6698358058929443,1,5000
Hill Climbing,13,8,0.17999029159545898,1,5000
Simulated Annealing,13,8,0.14330220222473145,0,3611
Genetic Algorithm,13,8,2.14864182472229,0,2947
Hill Climbing,14,8,0.178938627243042,1,5000
Simulated Annealing,14,8,0.09691667556762695,0,2466
Genetic Algorithm,14,8,0.1768968105316162,0,238
Hill Climbing,15,8,0.18216371536254883,1,5000
Simulated Annealing,15,8,0.19259381294250488,2,5000
Genetic Algorithm,15,8,3.6741673946380615,1,5000
Hill Climbing,16,8,0.18231916427612305,2,5000
Simulated Annealing,16,8,0.1947798728942871,1,5000
Genetic Algorithm,16,8,0.16021323204040527,0,223
Hill Climbing,17,8,0.17977452278137207,1,5000
Simulated Annealing,17,8,0.02105569839477539,0,571
Genetic Algorithm,17,8,3.6391031742095947,1,5000
Hill Climbing,18,8,0.17879509925842285,1,5000
Simulated Annealing,18,8,0.19057369232177734,2,5000
Genetic Algorithm,18,8,3.681623697280884,1,5000
Hill Climbing,19,8,0.1786184310913086,2,5000
Simulated Annealing,19,8,0.19062209129333496,2,5000
Genetic Algorithm,19,8,3.6437041759490967,1,5000
Hill Climbing,20,8,0.1801450252532959,1,5000
Simulated Annealing,20,8,0.19588613510131836,1,5000
Genetic Algorithm,20,8,0.4945542812347412,0,666
Hill Climbing,21,8,0.18056082725524902,2,5000
Simulated Annealing,21,8,0.19034934043884277,2,5000
Genetic Algorithm,21,8,1.325174331665039,0,1824
Hill Climbing,22,8,0.18027043342590332,2,5000
Simulated Annealing,22,8,0.19321084022521973,1,5000
Genetic Algorithm,22,8,3.6786532402038574,1,5000
Hill Climbing,23,8,0.18312978744506836,1,5000
Simulated Annealing,23,8,0.1981189250946045,2,5000
Genetic Algorithm,23,8,0.4524354934692383,0,623
Hill Climbing,24,8,0.1821284294128418,2,5000
Simulated Annealing,24,8,0.18881869316101074,1,5000
Genetic Algorithm,24,8,3.6889796257019043,1,5000
Hill Climbing,25,8,0.18167877197265625,1,5000
Simulated Annealing,25,8,0.20146393775939941,2,5000
Genetic Algorithm,25,8,3.6627302169799805,1,5000
Hill Climbing,26,8,0.18035411834716797,1,5000
Simulated Annealing,26,8,0.19604778289794922,2,5000
Genetic Algorithm,26,8,1.4163799285888672,0,1940
Hill Climbing,27,8,0.19456791877746582,2,5000
Simulated Annealing,27,8,0.19831562042236328,1,5000
Genetic Algorithm,27,8,0.2602396011352539,0,350
Hill Climbing,28,8,0.17987656593322754,1,5000
Simulated Annealing,28,8,0.19745087623596191,1,5000
Genetic Algorithm,28,8,0.8374035358428955,0,1150
Hill Climbing,29,8,0.1842648983001709,1,5000
Simulated Annealing,29,8,0.19135379791259766,2,5000
Genetic Algorithm,29,8,0.14903783798217773,0,206
Hill Climbing,30,8,0.1832132339477539,1,5000
Simulated Annealing,30,8,0.190659761428833,1,5000
Genetic Algorithm,30,8,0.15743780136108398,0,217
Hill Climbing,1,10,0.2501521110534668,3,5000
Simulated Annealing,1,10,0.2514381408691406,2,5000
Genetic Algorithm,1,10,2.0136187076568604,0,2302
Hill Climbing,2,10,0.2505183219909668,3,5000
Simulated Annealing,2,10,0.25329113006591797,2,5000
Genetic Algorithm,2,10,1.1780908107757568,0,1331
Hill Climbing,3,10,0.24585318565368652,2,5000
Simulated Annealing,3,10,0.25994110107421875,3,5000
Genetic Algorithm,3,10,4.4038245677948,1,5000
Hill Climbing,4,10,0.24608683586120605,3,5000
Simulated Annealing,4,10,0.2545030117034912,2,5000
Genetic Algorithm,4,10,4.375010013580322,1,5000
Hill Climbing,5,10,0.25025224685668945,3,5000
Simulated Annealing,5,10,0.253018856048584,3,5000
Genetic Algorithm,5,10,4.448589324951172,1,5000
Hill Climbing,6,10,0.24939393997192383,3,5000
Simulated Annealing,6,10,0.253856897354126,3,5000
Genetic Algorithm,6,10,0.2563607692718506,0,286
Hill Climbing,7,10,0.2475278377532959,3,5000
Simulated Annealing,7,10,0.2559962272644043,3,5000
Genetic Algorithm,7,10,4.380748748779297,1,5000
Hill Climbing,8,10,0.25331807136535645,3,5000
Simulated Annealing,8,10,0.25247740745544434,2,5000
Genetic Algorithm,8,10,4.415619611740112,1,5000
Hill Climbing,9,10,0.2504124641418457,3,5000
Simulated Annealing,9,10,0.25187063217163086,3,5000
Genetic Algorithm,9,10,4.3897788524627686,1,5000
Hill Climbing,10,10,0.25204992294311523,2,5000
Simulated Annealing,10,10,0.25203371047973633,2,5000
Genetic Algorithm,10,10,4.402099847793579,1,5000
Hill Climbing,11,10,0.24835681915283203,3,5000
Simulated Annealing,11,10,0.25704503059387207,3,5000
Genetic Algorithm,11,10,4.409362077713013,1,5000
Hill Climbing,12,10,0.2481517791748047,2,5000
Simulated Annealing,12,10,0.25292110443115234,3,5000
Genetic Algorithm,12,10,4.425692081451416,1,5000
Hill Climbing,13,10,0.2739448547363281,3,5000
Simulated Annealing,13,10,0.2577517032623291,2,5000
Genetic Algorithm,13,10,1.9148857593536377,0,2163
Hill Climbing,14,10,0.250669002532959,2,5000
Simulated Annealing,14,10,0.25876879692077637,3,5000
Genetic Algorithm,14,10,0.5759122371673584,0,654
Hill Climbing,15,10,0.24579739570617676,2,5000
Simulated Annealing,15,10,0.25681424140930176,3,5000
Genetic Algorithm,15,10,4.433377027511597,1,5000
Hill Climbing,16,10,0.2472517490386963,3,5000
Simulated Annealing,16,10,0.257129430770874,2,5000
Genetic Algorithm,16,10,4.410284519195557,1,5000
Hill Climbing,17,10,0.25017738342285156,2,5000
Simulated Annealing,17,10,0.25383472442626953,2,5000
Genetic Algorithm,17,10,4.4080400466918945,1,5000
Hill Climbing,18,10,0.2520263195037842,2,5000
Simulated Annealing,18,10,0.2529299259185791,2,5000
Genetic Algorithm,18,10,4.40145468711853,1,5000
Hill Climbing,19,10,0.24798345565795898,3,5000
Simulated Annealing,19,10,0.2551999092102051,2,5000
Genetic Algorithm,19,10,0.02469658851623535,0,28
Hill Climbing,20,10,0.25049424171447754,2,5000
Simulated Annealing,20,10,0.253115177154541,2,5000
Genetic Algorithm,20,10,4.401996612548828,1,5000
Hill Climbing,21,10,0.24828648567199707,3,5000
Simulated Annealing,21,10,0.2564525604248047,2,5000
Genetic Algorithm,21,10,4.385901212692261,1,5000
Hill Climbing,22,10,0.2520139217376709,2,5000
Simulated Annealing,22,10,0.2554199695587158,2,5000
Genetic Algorithm,22,10,2.1587231159210205,0,2458
Hill Climbing,23,10,0.24622130393981934,2,5000
Simulated Annealing,23,10,0.25655102729797363,3,5000
Genetic Algorithm,23,10,4.459373474121094,1,5000
Hill Climbing,24,10,0.24695777893066406,3,5000
Simulated Annealing,24,10,0.2529764175415039,3,5000
Genetic Algorithm,24,10,4.41965126991272,1,5000
Hill Climbing,25,10,0.2644674777984619,1,5000
Simulated Annealing,25,10,0.2535531520843506,2,5000
Genetic Algorithm,25,10,1.0346360206604004,0,1159
Hill Climbing,26,10,0.24652361869812012,3,5000
Simulated Annealing,26,10,0.25870299339294434,3,5000
Genetic Algorithm,26,10,4.46558403968811,1,5000
Hill Climbing,27,10,0.24599123001098633,3,5000
Simulated Annealing,27,10,0.25443506240844727,3,5000
Genetic Algorithm,27,10,0.12386584281921387,0,142
Hill Climbing,28,10,0.2476952075958252,3,5000
Simulated Annealing,28,10,0.2515068054199219,3,5000
Genetic Algorithm,28,10,4.4207165241241455,1,5000
Hill Climbing,29,10,0.2531609535217285,2,5000
Simulated Annealing,29,10,0.2608349323272705,2,5000
Genetic Algorithm,29,10,3.8476924896240234,0,4315
Hill Climbing,30,10,0.24505877494812012,2,5000
Simulated Annealing,30,10,0.2543041706085205,2,5000
Genetic Algorithm,30,10,4.429099082946777,1,5000
Hill Climbing,1,12,0.32774806022644043,4,5000
Simulated Annealing,1,12,0.47903966903686523,4,5000
Genetic Algorithm,1,12,0.19806766510009766,0,155
Hill Climbing,2,12,0.346189022064209,4,5000
Simulated Annealing,2,12,0.3309051990509033,4,5000
Genetic Algorithm,2,12,5.42620325088501,1,5000
Hill Climbing,3,12,0.3430774211883545,4,5000
Simulated Annealing,3,12,0.34073352813720703,4,5000
Genetic Algorithm,3,12,5.566895961761475,1,5000
Hill Climbing,4,12,0.32642102241516113,3,5000
Simulated Annealing,4,12,0.3532896041870117,4,5000
Genetic Algorithm,4,12,5.345478296279907,1,5000
Hill Climbing,5,12,0.3254408836364746,3,5000
Simulated Annealing,5,12,0.3239572048187256,5,5000
Genetic Algorithm,5,12,0.20839691162109375,0,194
Hill Climbing,6,12,0.32262468338012695,4,5000
Simulated Annealing,6,12,0.3252859115600586,4,5000
Genetic Algorithm,6,12,1.3813049793243408,0,1281
Hill Climbing,7,12,0.3229818344116211,4,5000
Simulated Annealing,7,12,0.3263378143310547,4,5000
Genetic Algorithm,7,12,5.336427450180054,1,5000
Hill Climbing,8,12,0.3268015384674072,3,5000
Simulated Annealing,8,12,0.3235182762145996,3,5000
Genetic Algorithm,8,12,5.360461235046387,1,5000
Hill Climbing,9,12,0.32414889335632324,4,5000
Simulated Annealing,9,12,0.32494425773620605,4,5000
Genetic Algorithm,9,12,5.326639652252197,1,5000
Hill Climbing,10,12,0.3220326900482178,4,5000
Simulated Annealing,10,12,0.32729578018188477,4,5000
Genetic Algorithm,10,12,5.334634065628052,1,5000
Hill Climbing,11,12,0.3197591304779053,3,5000
Simulated Annealing,11,12,0.32875895500183105,5,5000
Genetic Algorithm,11,12,5.372530937194824,1,5000
Hill Climbing,12,12,0.3206911087036133,4,5000
Simulated Annealing,12,12,0.32409167289733887,4,5000
Genetic Algorithm,12,12,0.267794132232666,0,248
Hill Climbing,13,12,0.31827831268310547,4,5000
Simulated Annealing,13,12,0.3263261318206787,4,5000
Genetic Algorithm,13,12,0.3336484432220459,0,310
Hill Climbing,14,12,0.31795501708984375,5,5000
Simulated Annealing,14,12,0.33191776275634766,3,5000
Genetic Algorithm,14,12,1.0754144191741943,0,1003
Hill Climbing,15,12,0.3239929676055908,4,5000
Simulated Annealing,15,12,0.325606107711792,3,5000
Genetic Algorithm,15,12,5.356762170791626,1,5000
Hill Climbing,16,12,0.32786035537719727,4,5000
Simulated Annealing,16,12,0.32291674613952637,4,5000
Genetic Algorithm,16,12,5.314123630523682,1,5000
Hill Climbing,17,12,0.32152700424194336,4,5000
Simulated Annealing,17,12,0.3206937313079834,4,5000
Genetic Algorithm,17,12,0.39321446418762207,0,367
Hill Climbing,18,12,0.3238391876220703,4,5000
Simulated Annealing,18,12,0.32492613792419434,3,5000
Genetic Algorithm,18,12,5.3283960819244385,1,5000
Hill Climbing,19,12,0.3214750289916992,4,5000
